Код;Подстанция;Присоединение;Устройство РЗА;2015 дата;Тип терминала;2015;2016;2017;2016 дата;2018;2021;2019;2020;Посл_пров;Дата_посл_пров;ЦСРЗАИ;Ввод в эксплуатацию;Количество присоединений;Количество релейных защит;Примечание;Норма времени на Н;Норма времени на  В;Норма времени на К;Норма времени на О;Микроэлектроника;Оформлена документация;Включено в график отключений;Стоимость реконструкции;Год реконструкции;Микропроцессорная;Мастер код;2021 дата;Норма времени на К1;Сортировка ЦДС;Выполнено;Это не РЗА?;Тип присоединения;Реконструкция по ОКС;2017 дата;2022;2023;2024;2025;2018 дата;2026;2027;2028;2029;2030;Количество электроавтоматики;Количество противоаварийной автоматики;2019 дата;Назначение устройства РЗА;Производитель;Тип объекта;Тип устройства;2020 дата;2022 дата
2522;ТП-305 "Ольгово" ВСРЭС;РУ-10кВ;РЗА;;РТВ;;в;;1;;;;к;к;2020;0;1976;1;1;;40;28,80;13,30;2,60;0;0;0;;2024;0;11;;;;0;0;6;0;;;;в;;;;;к;;;;;;1;1;ТП;ЭМ;3;
2523;РП-3 "Копти" ВСРЭС;РУ-10кВ;РЗА;;РТВ;;;в;;в;;;;к;02.2022;0;1977;6;6;;40;28,80;13,30;2,60;0;0;0;;2018;0;11;;;;0;0;6;0;;к;;;;;в;;;;к;;;;1;1;РП;ЭМ;;2
2524;ТП-222 н.п. "Копти" ВСРЭС;РУ-10кВ;РЗА;;РТВ;;;;;в;;;;в;02.2018;0;1975;1;1;;40;28,80;13,30;2,60;0;0;0;;2018;0;11;;;;0;0;6;0;;к;;;;2;в;;;;;;;;1;1;ТП;ЭМ;;11
2525;ТП-76 "Октябрьский" ВСРЭС;РУ-10кВ;РЗА;;МР-700-3;в;;;;;;к;;к;07.2019;0;2011;3;3;;40;28,80;13,30;2,60;0;0;0;;2023;1;11;;40,00;;0;0;6;0;;;в;;;;;к;;;;;;7;1;4;ТП;МП;;
2526;ТП-707 "Палешино" ГРЭС;РУ-10кВ;РЗА;;РТВ;к;;;;;;к;;;;0;1991;1;1;;40;28,80;13,30;2,60;0;0;0;;2025;0;11;;40,00;;0;0;6;0;;;в;;;;;к;;;;;;7;1;1;ТП;ЭМ;;
2527;ТП-746 "Боровые" ГРЭС;РУ-10кВ;РЗА;;РТВ;;в;;11;;;;к;к;2020;0;2001;1;1;;40;28,80;13,30;2,60;0;0;0;;;0;11;;;;0;0;6;0;;;;в;;;;;к;;;;;;1;1;ТП;ЭМ;2;
2528;КРУН "Пальминки" ГРЭС;РУ-10кВ;РЗА;;РТ-40;;в;;6;;к;;;к;02.2021;0;1981;1;1;;40;28,80;13,30;2,60;0;0;0;;2024;0;11;2;;;0;0;6;0;;;;в;;;;;к;;;;;;1;1;КРУН;ЭМ;2;
2529;КРУН "Ковали" ВЛ-977 ГРЭС;РУ-10кВ;РЗА;;РТВ;;в;;6;;к;;;к;02.2021;0;1977;1;1;;40;28,80;13,30;2,60;0;0;0;;2024;0;11;2;;;0;0;6;0;;;;в;;;;;к;;;;;;1;1;КРУН;ЭМ;2;
2531;ТП-458 "Якубовщина" ЛРЭС;РУ-10кВ;РЗА;;РТВ;;к;;7;;;;в;к1;2020;0;1989;1;1;;40;28,80;13,30;2,60;0;0;0;;2020;0;11;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;1;ТП;ЭМ;10;
2532;ТП-288 Замшено ЛРЭС;РУ-10кВ;РЗА;;РТВ;в;;;;к;;;;в;01.2022;0;1991;1;1;;40;28,80;13,30;2,60;0;0;0;;2021;0;11;;;;0;0;6;0;;в;;;;1;к;;;;в;;;;1;1;ТП;ЭМ;;1
2533;ТП-379 "Крынки" ЛРЭС;РУ-10кВ;РЗА;;РТВ;;к;;9;к;;;в;в;2020;0;1989;1;1;;40;28,80;13,30;2,60;0;0;0;;2020;0;11;;;;0;0;6;0;;;;к;;5;;;в;;;;;;1;1;ТП;ЭМ;8;
2534;РП "Сельхозтехника" ЛРЭС;РУ-10кВ;РЗА;;РТВ;;к;;6;;;;в;в;2020;0;1973;6;6;;40;28,80;13,30;2,60;0;0;0;;2020;0;11;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;1;РП;ЭМ;5;
2535;ТП-673 "Слобода" РРЭС;РУ-10кВ;РЗА;;РТВ;к;;в;;;;;;в;07.2017;0;1992;1;1;;40;28,80;13,30;2,60;0;0;0;;2019;0;11;;;;0;0;6;0;8;к;;;;;в;;;;к;;;;1;1;ТП;ЭМ;;11
2536;ТП-717 "Мишутки" РРЭС;РУ-10кВ;РЗА;;РТВ;;;в;;;к;;;к;10.2021;0;1969;1;1;;40;28,80;13,30;2,60;0;0;0;;2017;0;11;10;;;0;0;6;0;9;;;;в;;;;;к;;;;;1;1;ТП;ЭМ;;
2537;ТП-379 "Войтово" РРЭС;РУ-10кВ;РЗА;;РТВ;в;;к;;;;;;в;05.2022;0;1979;1;1;;40;28,80;13,30;2,60;0;0;0;;2023;0;11;;;;0;0;6;0;5;в;;;;;к;;;;в;;;;1;1;ТП;ЭМ;;5
