Код;Подстанция;Присоединение;Устройство РЗА;2015 дата;Тип терминала;2015;2016;2017;2016 дата;2018;2021;2019;2020;Посл_пров;Дата_посл_пров;ЦСРЗАИ;Ввод в эксплуатацию;Количество присоединений;Количество релейных защит;Примечание;Норма времени на Н;Норма времени на  В;Норма времени на К;Норма времени на О;Микроэлектроника;Оформлена документация;Включено в график отключений;Стоимость реконструкции;Год реконструкции;Микропроцессорная;Мастер код;2021 дата;Норма времени на К1;Сортировка ЦДС;Выполнено;Это не РЗА?;Тип присоединения;Реконструкция по ОКС;2017 дата;2022;2023;2024;2025;2018 дата;2026;2027;2028;2029;2030;Количество электроавтоматики;Количество противоаварийной автоматики;2019 дата;Назначение устройства РЗА;Производитель;Тип объекта;Тип устройства;2020 дата;2022 дата
398;330кВ Витебская;АТ-3;РЗА;7;;о;к;о;8;о;о;в;о;в;05.2019;1;1989;1;3;;384;384,50;184,30;35,40;0;0;0;;;0;1;8;384,50;16;0;0;4;0;6;к;о;о;в;8;о;о;к;о;о;;;5;1;;ПС 330;;5;7
399;330кВ Витебская;АТ-3;ПЗ-5;7;ПЗ-5;о;к;о;3;о;о;в;о;в;09.2019;1;1989;1;1;;50;51,00;9,40;4,00;0;0;0;;;0;1;8;50,00;14;0;0;4;0;6;к;о;о;в;8;о;о;к;о;о;;;4;1;1;ПС 330;ЭМ;5;7
400;330кВ Витебская;АТ-3;ВЭ-110,автоматика;7;;о;к;о;8;о;о;в;о;в;05.2019;1;2004;1;1;;30;29,00;16,80;2,60;0;0;0;;;0;1;8;30,00;13;0;1;4;0;6;к;о;о;в;8;о;о;к;о;о;;;5;1;;ПС 330;;5;7
401;330кВ Витебская;АТ-3;ВВ-10,автоматика;7;;о;к;о;8;о;о;в;о;в;05.2019;1;1989;1;1;;30;29,00;16,80;2,60;0;0;0;;;0;1;8;30,00;12;0;1;4;0;6;к;о;о;в;8;о;о;к;о;о;;;5;1;;ПС 330;;5;7
402;330кВ Витебская;АТ-3;ШАОТ;7;;о;к;о;8;о;о;в;о;в;05.2019;0;1989;1;1;;50;49,30;9,00;5,50;0;0;0;;;0;1;8;50,00;3;0;1;4;0;6;к;о;о;в;8;о;о;к;о;о;;;5;7;;ПС 330;;5;7
403;330кВ Витебская;АТ-3;РПН,АРН (АТ);7;;о;к;о;8;о;о;в;о;в;05.2019;1;1989;1;1;;20;18,00;18,00;5,00;0;0;0;;;0;1;8;20,00;17;0;0;4;0;6;к;о;о;в;8;о;о;к;о;о;;;5;5;;ПС 330;;5;7
404;330кВ Витебская;АТ-3;РПН,АРН (ВДТ);7;АРТ;о;к;о;8;о;о;в;о;в;05.2019;1;1989;1;1;;20;18,00;18,00;5,00;1;0;0;;;0;1;8;20,00;18;0;0;4;0;6;к;о;о;в;8;о;о;к;о;о;;;5;5;7;ПС 330;МЭ;5;7
405;330кВ Витебская;АТ-3;Пожаротушение;7;;о;к;о;8;о;о;в;о;в;05.2019;1;1989;1;1;;40;38,00;27,00;7,00;0;0;0;;;0;1;8;40,00;15;0;1;4;0;6;к;о;о;в;8;о;о;к;о;о;;;5;1;;ПС 330;;5;7
406;330кВ Витебская;АТ-3;Управл.ТР-330кВ;7;;о;о;о;8;о;о;к;о;к;05.2019;0;1989;1;1;;15;15,00;10,00;2,00;0;0;0;;;0;1;8;15,00;19;0;1;4;0;6;о;в;о;о;8;о;к;о;о;о;;;5;;;ПС 330;;5;7
407;330кВ Витебская;АТ-3;Опер.блокировка 110кВ;7;;о;к;о;8;о;о;в;о;в;05.2019;0;1989;1;1;;6;6,00;4,50;1,00;0;0;0;;;0;1;8;6,00;3;0;1;4;0;6;к;о;о;в;8;о;о;к;о;о;;;5;4;;ПС 330;;5;7
408;330кВ Витебская;1сш-330кВ;ДЗО;7;;о;о;к;8;о;о;о;в;в;09.2020;1;1989;1;1;;20;20,20;10,90;2,00;0;0;0;;;0;1;8;20,00;20;0;0;1;0;6;о;к;о;о;8;в;о;о;к;о;;;5;1;1;ПС 330;;5;7
409;330кВ Витебская;1сш-330кВ;ТН-330кВ;7;;о;о;о;8;в;о;о;о;в;09.2018;1;2010;1;1;;20;19,30;7,80;1,30;0;0;0;1;;0;1;8;20,00;21;0;1;1;0;6;к;о;о;о;8;в;о;о;о;к;;;5;1;1;ПС 330;;5;7
410;330кВ Витебская;1сш-330кВ;Управление РТН;7;;о;о;о;8;в;о;о;о;в;09.2018;0;2010;1;1;;20;18,00;18,00;5,00;0;0;0;1;;0;1;8;20,00;22;0;1;1;0;6;к;о;о;о;8;в;о;о;о;к;;;5;;;ПС 330;;5;7
411;330кВ Витебская;2сш-330кВ;ДЗО;8;;о;о;к;7;о;о;о;в;в;08.2020;1;1989;1;1;;20;20,20;10,90;2,00;0;0;0;;;0;1;6;20,00;23;0;0;1;0;8;о;к;о;о;7;в;о;о;к;о;;;6;1;;ПС 330;;6;8
412;330кВ Витебская;2сш-330кВ;ТН-330кВ;8;;о;о;о;7;в;о;о;о;в;07.2018;1;2010;1;1;;20;19,30;7,80;1,30;0;0;0;1;;0;1;6;20,00;24;0;1;1;0;8;к;о;о;о;7;в;о;о;о;к;;;6;1;;ПС 330;;6;8
413;330кВ Витебская;2сш-330кВ;Управление РТН;8;;о;о;к;7;о;в;о;о;в;06.2021;0;2009;1;1;;20;18,00;18,00;5,00;0;0;0;1;;0;1;6;20,00;25;0;1;1;0;8;о;о;о;к;7;о;о;о;о;в;;;6;;;ПС 330;;6;8
414;330кВ Витебская;ПА;ДА-1;6;;о;о;в;8;о;к;о;о;к;04.2021;1;1988;1;1;;22;21,70;13,40;2,50;0;0;0;;2011;0;1;5;21,70;112;0;0;1;0;8;о;о;о;в;5;о;о;о;к;о;;;9;2;;ПС 330;;6;6
415;330кВ Витебская;ПА;ДА-2;10;;в;о;о;8;к;в;о;о;в;04.2021;1;1983;1;1;;22;21,70;13,40;2,50;0;0;0;2;;0;1;5;21,70;113;0;0;1;0;8;о;о;к;о;5;о;в;о;о;к;;;9;2;;ПС 330;;6;6
416;330кВ Витебская;ПА;ДА-3;6;;о;о;в;8;о;к;о;о;к;04.2021;1;1988;1;1;;22;21,70;13,40;2,50;0;0;0;;;0;1;5;21,70;114;0;0;1;0;8;о;о;о;в;5;о;о;о;к;о;;;9;2;;ПС 330;;6;6
418;330кВ Витебская;ПА;АФОЛ-349;6;;о;о;в;8;о;к;о;о;к;04.2021;1;1988;1;1;;10;9,60;5,70;1,30;0;0;0;;2015;0;1;5;9,60;111;0;0;1;0;8;о;о;о;в;5;о;о;о;к;о;;;9;2;;ПС 330;;6;6
419;330кВ Витебская;ПА;АПАХ ВЛ на Лиозно;6;;о;о;в;8;о;к;о;о;к;04.2021;1;1988;1;1;;40;38,90;23,40;5,30;0;0;0;;;0;1;5;40,00;110;0;0;2;0;8;о;о;о;в;5;о;о;о;к;о;;;9;2;;ПС 330;;6;6
420;330кВ Витебская;ВЛ-110кВ На БелГРЭС;РЗА (ЭПЗ-1636);5;ЭПЗ-1636;о;в;о;5;о;о;о;к;к;08.2020;1;2001;1;3;;62;61,80;12,00;5,50;0;0;0;;;0;1;3;61,80;77;0;0;2;0;4;о;о;в;о;3;о;о;к;о;о;;;8;1;1;ПС 330;ЭМ;8;3
424;330кВ Витебская;ВЛ-110кВ На БелГРЭС;Опер.блокировка;5;;к;в;о;5;о;о;о;к;к;08.2020;0;1971;1;1;;6;6,00;4,50;1,00;0;0;0;;;0;1;3;6,00;2;0;1;2;0;4;о;о;в;о;3;о;о;о;о;о;;;8;4;;ПС 330;;8;3
426;330кВ Витебская;ВЛ-110кВ на Лиозно;РЗА (ЭПЗ-1636);5;ЭПЗ-1636;о;о;в;8;о;к;о;о;к;05.2021;1;2004;1;1;;30;29,00;16,80;2,60;0;0;0;;;0;1;5;30,00;90;0;0;2;0;7;о;о;о;в;5;о;о;о;к;о;;;9;1;1;ПС 330;ЭМ;6;6
427;330кВ Витебская;ВЛ-110кВ на Лиозно;Опер.блокировка;5;;о;о;в;8;о;к;о;о;к;05.2021;0;1971;1;1;;6;6,00;4,50;1,00;0;0;0;1;;0;1;5;6,00;2;0;1;2;0;7;о;о;о;в;5;о;о;о;о;о;;;9;4;;ПС 330;;6;6
429;330кВ Витебская;ВЛ-110кВ на Мошканы;РЗА (ЭПЗ-1636);8;ЭПЗ-1636;к;о;о;4;к;в;о;о;в;08.2021;1;1986;1;1;;30;29,00;16,80;2,60;0;0;0;;;0;1;4;30,00;99;0;0;2;0;4;о;о;к;о;9;о;в;о;о;к;;;8;1;1;ПС 330;ЭМ;4;3
432;330кВ Витебская;ВЛ-110кВ на Мошканы;Опер.блокировка;8;;к;в;о;4;к;в;о;о;в;04.2021;0;1986;1;1;;6;6,00;4,50;1,00;0;0;0;;;0;1;4;6,00;2;0;1;2;0;4;о;о;о;о;9;о;в;о;о;о;;;8;4;;ПС 330;;4;3
434;330кВ Витебская;ВЛ-110кВ на Журжево;РЗА (МР-771) 1,2 комплекс;4;МР-771;в;о;о;4;к;в;о;о;н;04.2022;1;2022;1;1;;30;29,00;16,80;2,60;0;0;0;;2028;1;1;4;30,00;88;0;0;2;0;5;н;к1;о;о;3;к;о;о;о;в;;;9;1;4;ПС 330;МП;6;4
435;330кВ Витебская;ВЛ-110кВ на Журжево;ПРМ/ПРД  ETL600 932/848кГц, ф.С;4;ETL600;в;о;о;4;к;в;о;о;н;04.2022;1;2022;1;1;;20;19,00;4,40;2,00;1;0;0;;;1;1;4;20,00;86;0;0;2;0;5;н;к1;о;о;3;к;о;о;о;в;;;9;;2;ПС 330;МП;6;4
436;330кВ Витебская;ВЛ-110кВ на Журжево;Опер.блокировка;4;;в;о;о;4;к;в;о;о;в;04.2021;0;1971;1;1;;6;6,00;4,50;1,00;0;0;0;1;;0;1;4;6,00;2;0;1;2;0;5;о;о;о;о;3;о;в;о;о;о;;;9;4;;ПС 330;;6;4
438;330кВ Витебская;ВЛ-110кВ на Вит. ГЭС;РЗА 2 комплекс (PCS-902);3;PCS-902;в;н;к1;4;о;о;о;к;к;08.2020;1;2016;1;1;;29;29,00;16,80;2,60;0;0;0;;2028;1;1;8;29,00;81;0;0;2;0;9;о;в;о;о;5;к;о;о;в;о;;;9;1;7;ПС 330;МП;8;4
439;330кВ Витебская;ВЛ-110кв на Вит. ГЭС;ПРМ/ПРД АПДКЦ-01 112/116кГц, ф.С;3;АПДКЦ-01;в;н;к1;4;о;о;о;к;к;09.2020;1;2016;1;1;;20;19,00;4,40;2,00;0;0;0;;;0;1;8;20,00;82;0;0;2;0;10;о;в;о;о;5;к;о;о;в;о;;;9;;4;ПС 330;МП;8;4
440;330кВ Витебская;ВЛ-110кВ на Вит. ГЭС;Опер.блокировка;3;;в;н;к1;4;к;о;о;к;к;03.2018;0;2016;1;1;;6;6,00;4,50;1,00;0;0;0;1;;0;1;8;6,00;2;0;1;2;0;10;о;в;о;о;5;о;о;о;в;о;;;9;4;;ПС 330;;8;4
441;330кВ Витебская;ВЛ-110кВ на Лучёсу;РЗА 2 комплекс (REL670);9;REL670;в;о;о;4;к;в;о;о;в;08.2021;1;2009;1;3;;62;61,80;12,00;5,50;0;0;0;;2023;1;1;8;61,80;92;0;0;2;0;4;о;о;к;о;4;о;в;о;о;к;;;9;1;2;ПС 330;МП;4;4
442;330кВ Витебская;ВЛ-110кВ на Лучёсу;РЗА 1 комплекс (REL670);9;REL670;в;о;о;4;к;в;о;о;в;08.2021;1;2009;1;1;;30;29,00;16,80;2,60;0;0;0;;2023;1;1;8;30,00;91;0;0;2;0;4;о;о;к;о;4;о;в;о;о;к;;;9;1;2;ПС 330;МП;4;4
444;330кВ Витебская;ВЛ-110кВ на Лучёсу;ВЭ-110кВ, управление;9;;в;о;о;4;к;в;о;о;к;04.2018;1;2009;1;1;;6;6,00;4,50;1,00;0;0;0;1;2033;0;1;8;6,00;95;0;1;2;0;4;о;о;к;о;4;о;в;о;о;к;;;9;4;;ПС 330;;4;4
446;330кВ Витебская;ВЛ-110кВ на Верховье;РЗА (МР-771) 1,2 комплекс;6;МР-771;к;о;о;6;в;н;о;о;н;10.2021;1;2021;1;1;;29;29,00;16,80;2,60;0;0;0;;;1;1;10;29,00;79;0;0;2;0;6;к1;о;к;о;8;о;в;о;о;к;;;6;1;4;ПС 330;МП;9;11
447;330кВ Витебская;ВЛ-110кВ на Верховье;Опер.блокировка;6;;к;о;о;6;в;к;о;о;к;12.2021;0;1971;3;1;;6;6,00;4,50;1,00;0;0;0;1;;0;1;10;6,00;2;0;1;2;0;6;о;о;в;о;8;о;о;о;о;в;;;6;4;;ПС 330;;9;11
449;330кВ Витебская;ВЛ-110кВ на Рубу;РЗА (МР-771) 1,2 комплекс;7;МР-771;к;о;о;7;в;к1;о;о;к1;12.2021;1;2020;1;1;;30;29,00;16,80;2,60;0;0;0;;;1;1;11;30,00;101;0;0;2;0;6;о;о;к;о;8;о;в;о;о;к;;;6;1;4;ПС 330;МП;9;4
450;330кВ Витебская;ВЛ-110кВ на Рубу;Опер.блокировка;7;;к;о;о;7;в;к;о;о;к;11.2021;0;1971;3;1;;6;6,00;4,50;1,00;0;0;0;1;;0;1;11;6,00;2;0;1;2;0;6;о;о;в;о;8;о;о;о;о;в;;;6;4;;ПС 330;;9;4
452;330кВ Витебская;ВЛ-110кВ №1 на Вит.Сев.;РЗА (ЭПЗ-1636)(замена на МР-771 1,2 комплекс);7;ЭПЗ-1636;к;о;о;5;в;к;о;о;к;03.2021;1;1990;1;1;;32;29,00;16,80;2,60;0;0;0;;;0;1;3;32,00;71;0;0;2;0;5;н;к1;о;к;4;о;о;в;о;о;;;5;1;1;ПС 330;ЭМ;6;9
453;330кВ Витебская;ВЛ-110кВ №1 на Вит.Сев.;Опер.блокировка;7;;к;о;о;5;в;к;о;о;к;03.2021;0;1972;3;1;;6;6,00;4,50;1,00;0;0;0;1;;0;1;3;6,00;2;0;1;2;0;5;о;о;в;о;4;о;о;о;о;в;;;5;4;;ПС 330;;6;9
455;330кВ Витебская;ВЛ-110кВ №2наВит.Сев.;РЗА (ЭПЗ-1636)(замена на МР-771 1,2 комплекс);9;ЭПЗ-1636;о;к;о;6;о;о;в;о;в;08.2019;1;1989;1;1;;32;29,00;16,80;2,60;0;0;0;;;0;1;8;32,00;73;0;0;2;0;4;н;к1;о;к;5;о;о;в;о;о;;;8;1;1;ПС 330;ЭМ;4;10
456;330кВ Витебская;ВЛ-110кВ №2наВит.Сев.;Опер.блокировка;9;;о;к;о;6;о;о;в;о;в;08.2019;0;1973;1;1;;6;6,00;4,50;1,00;0;0;0;1;;0;1;8;6,00;2;0;1;2;0;4;к;о;о;в;5;о;о;к;о;о;;;8;4;;ПС 330;;4;10
457;330кВ Витебская;ОВЭ-110кВ;РЗА (ЭПЗ-1636);4;ЭПЗ-1636;о;о;в;8;о;о;о;к;к;09.2020;1;1986;1;3;;62;61,80;12,00;5,50;0;0;0;;;0;1;6;61,80;107;0;0;2;0;5;о;в;о;о;6;к;о;о;в;о;;;9;1;1;ПС 330;ЭМ;10;8
460;330кВ Витебская;ОВЭ-110кВ;Опер.блокировка;4;;о;о;в;8;о;о;о;к;к;10.2020;0;1971;1;1;;6;6,00;4,50;1,00;0;0;0;1;;0;1;6;6,00;2;0;1;2;0;5;о;в;о;о;6;о;о;о;в;о;;;9;4;;ПС 330;;10;8
463;330кВ Витебская;ШСВЭ-110кВ;Опер.блокировка;9;;к;о;о;9;в;к;о;о;к;06.2021;0;1971;3;1;;6;6,00;4,50;1,00;0;0;0;1;;0;1;6;6,00;2;0;1;2;0;7;о;о;в;о;6;о;о;о;о;в;;;6;4;;ПС 330;;4;4
464;330кВ Витебская;СШ-110кВ;УРОВ-110кВ;10;;о;о;в;10;о;о;о;к;к;10.2020;1;1971;1;1;;40;40,00;12,30;7,00;0;0;0;5;;0;1;11;40,00;104;0;0;2;0;10;о;в;о;о;10;к;о;о;в;о;;;10;2;;ПС 330;;10;11
465;330кВ Витебская;СШ-110кВ;ДЗШ-110кВ;10;;о;о;в;10;о;о;о;к;к;10.2020;1;1970;1;1;;62;62,40;36,10;6,90;0;0;0;6;;0;1;11;62,40;103;0;0;2;0;10;о;в;о;о;10;к;о;о;в;о;;;10;1;;ПС 330;;10;11
466;330кВ Витебская;1сш-110кВ;ТН №1;8;;к;о;о;8;в;о;о;о;н;05.2022;1;1971;1;1;;20;19,30;7,80;1,30;0;0;0;1;;0;1;6;20,00;26;0;1;2;0;8;н;к1;о;о;6;к;о;о;о;в;;;5;1;1;ПС 330;;4;11
467;330кВ Витебская;2сш-110кВ;ТН №2;9;;к;о;о;9;в;о;о;о;н;12.2021;1;2021;1;1;;20;19,30;7,80;1,30;0;0;0;1;;0;1;8;20,00;27;0;1;1;0;7;к1;о;о;к;6;о;о;о;в;о;;;6;1;;ПС 330;;4;11
468;330кВ Витебская;ОСШ-110кВ;ТН ОСШ;4;;о;о;в;8;о;о;о;к;к;09.2020;1;1971;1;1;;19;19,30;7,80;1,30;0;0;0;1;;0;1;6;19,30;108;0;1;2;0;6;о;в;о;о;6;к;о;о;в;о;;;9;1;;ПС 330;;10;8
469;330кВ Витебская;Регистраторы;Регистратор №3 ПАРМА;3;ПАРМА;к;о;о;3;в;к;о;о;к;02.2021;1;2005;1;1;;32;32,00;22,00;4,50;0;0;0;;2018;1;1;2;32,00;102;0;1;;0;3;о;о;в;о;2;о;к;о;о;в;;;2;6;10;ПС 330;МП;2;2
475;330кВ Витебская;Фиксирующие приб.;ФПТ;3;ФПТ;о;о;к;3;о;о;о;в;в;02.2020;0;1988;1;2;;7;7,20;5,00;1,50;1;0;1;;;0;1;2;7,20;2;0;1;;0;3;о;к;о;о;2;в;о;о;к;о;;;2;6;7;ПС 330;МЭ;2;2
476;330кВ Витебская;ЗРУ-10кВ;КЛ-772;3;SPAC 801;о;о;в;4;о;к;о;о;к;03.2021;0;2001;1;4;;29;28,80;13,30;2,60;0;0;0;;;1;1;3;28,80;1;0;0;6;0;9;о;о;о;в;3;о;о;о;к;о;;;2;1;7;ПС 330;МП;3;3
477;330кВ Витебская;ЗРУ-10кВ;КЛ-773;3;SPAC 801;о;о;к;4;о;в;о;о;в;03.2021;0;2005;1;4;;29;28,80;13,30;2,60;0;0;0;;2021;1;1;3;28,80;1;0;0;6;0;8;о;о;о;к;3;о;о;о;в;о;;;2;1;7;ПС 330;МП;3;3
478;330кВ Витебская;ЗРУ-10кВ;КЛ-774;3;SPAC 801;о;о;о;7;в;о;о;о;в;10.2018;0;2002;1;4;;29;28,80;13,30;2,60;0;0;0;;;1;1;2;28,80;1;0;0;6;0;4;к;о;о;о;10;в;о;о;о;к;;;2;1;7;ПС 330;МП;3;3
479;330кВ Витебская;ЗРУ-10кВ;КЛ-775;3;SPAC 801;о;о;к;4;о;в;о;о;в;03.2021;0;2005;1;4;;29;28,80;13,30;2,60;0;0;0;;2021;1;1;3;28,80;1;0;0;6;0;5;о;о;о;к;3;о;о;о;в;о;;;2;1;7;ПС 330;МП;3;3
480;330кВ Витебская;ЗРУ-10кВ;КЛ-776;4;SPAC 801;о;о;в;4;о;к;о;о;к;03.2021;0;2001;1;4;;29;28,80;13,30;2,60;0;0;0;;;1;1;3;28,80;1;0;0;6;0;7;о;о;о;в;3;о;о;о;к;о;;;2;1;7;ПС 330;МП;3;3
481;330кВ Витебская;ЗРУ-10кВ;КЛ-777;4;SPAC 801;о;о;к;4;о;в;о;о;в;03.2021;0;2005;1;4;;29;28,80;13,30;2,60;0;0;0;;2021;1;1;3;28,80;1;0;0;6;0;9;о;о;о;к;3;о;о;о;в;о;;;2;1;7;ПС 330;МП;3;3
482;330кВ Витебская;ЗРУ-10кВ;КЛ-778;4;SPAC 801;о;о;к;4;о;в;о;о;к;05.2017;0;2005;1;4;;29;28,80;13,30;2,60;0;0;0;;2021;1;1;3;28,80;1;0;0;6;0;7;в;о;о;к;3;о;о;о;в;о;;;2;1;7;ПС 330;МП;3;4
483;330кВ Витебская;ЗРУ-10кВ;КЛ-779;10;МР-700;в;о;о;4;о;о;к;о;к;11.2019;0;2007;1;4;;29;28,80;13,30;2,60;0;0;0;;2023;1;1;2;28,80;1;0;0;6;0;4;о;в;о;о;3;о;к;о;о;о;;;11;1;4;ПС 330;МП;3;3
484;330кВ Витебская;ЗРУ-10кВ;КЛ-780;4;SPAC 801;о;о;к;4;о;в;о;о;к;10.2017;0;2001;1;4;;29;28,80;13,30;2,60;0;0;0;;;1;1;3;28,80;1;0;0;6;0;6;в;о;о;к;3;о;о;о;в;о;;;2;1;7;ПС 330;МП;3;4
485;330кВ Витебская;ЗРУ-10кВ;КЛ-781;4;SPAC 801;о;о;в;4;о;к;о;о;в;08.2017;0;2001;1;4;;29;28,80;13,30;2,60;0;0;0;;;1;1;3;28,80;1;0;0;6;0;6;к;о;о;в;3;о;о;о;к;о;;;2;1;7;ПС 330;МП;3;4
486;330кВ Витебская;ЗРУ-10кВ;КЛ-782;4;SPAC 801;о;о;в;4;о;к;о;о;к;03.2021;0;2001;1;4;;29;28,80;13,30;2,60;0;0;0;;;1;1;3;28,80;1;0;0;6;0;5;о;о;о;в;3;о;о;о;к;о;;;2;1;7;ПС 330;МП;3;3
487;330кВ Витебская;ЗРУ-10кВ;ВВ-10кВ ТСН-1;10;МР-700;в;о;о;4;о;о;к;о;к;11.2019;0;2007;1;2;;29;28,80;13,30;3,10;0;0;0;;2023;1;1;2;28,80;1;0;0;6;0;4;о;в;о;о;3;о;к;о;о;о;;;11;1;4;ПС 330;МП;3;3
488;330кВ Витебская;ЗРУ-10кВ;ВВ-10кВ ТСН-2;10;МР-700;в;о;о;4;о;о;к;о;к;11.2019;0;2007;1;2;;29;28,80;13,30;3,10;0;0;0;;2023;1;1;2;28,80;1;0;0;6;0;4;о;в;о;о;3;о;к;о;о;о;;;11;1;4;ПС 330;МП;3;3
489;330кВ Витебская;ЗРУ-10кВ;ТН-10кВ №1;4;;о;о;к;4;о;о;о;в;в;03.2020;0;1975;1;1;;13;13,40;5,30;0,90;0;0;0;1;;0;1;2;13,40;1;0;1;6;0;4;;к;;;3;в;;;к;;;;2;1;;ПС 330;;3;
490;330кВ Витебская;ЗРУ-10кВ;СВВ-1;10;SPAC 801;к;о;о;4;о;о;в;о;в;12.2019;0;2006;1;1;;38;37,90;17,70;2,80;0;0;1;;2024;1;1;2;37,90;1;0;0;6;0;4;о;к;о;о;3;о;в;о;о;о;;;11;1;7;ПС 330;МП;3;3
491;330кВ Витебская;ЗРУ-10кВ;СВВ-2;3;REF542+;о;о;о;7;в;о;о;о;в;10.2018;0;2010;1;1;;38;37,90;17,70;2,80;0;0;1;5;2025;1;1;2;37,90;1;0;0;6;0;4;к;о;о;о;10;в;о;о;о;к;;;2;1;2;ПС 330;МП;3;3
493;330кВ Витебская;АЧР;АЧР-10кВ;10;РЧ-1;о;о;к;11;о;о;о;в;в;12.2020;1;1997;1;1;;32;32,30;16,90;2,70;1;0;0;;;0;1;12;32,30;117;0;0;6;0;11;о;к;о;о;11;в;о;о;к;о;;;11;2;1;ПС 330;МЭ;11;12
494;330кВ Витебская;ЩПТ;Схема контроля ЩПТ;11;ЗПТ-001-32;в;о;о;10;о;о;к;о;к;12.2019;0;2007;32;1;;28;28,00;20,00;1,00;0;0;0;;2023;1;1;12;28,00;1;0;0;7;0;12;о;в;о;о;12;о;к;о;о;о;;;12;7;7;ПС 330;МП;12;12
495;330кВ Витебская;Постоянный ток;СВУ-1;11;;в;о;о;10;о;о;к;о;к;12.2019;0;2007;1;1;;21;20,80;6,20;3,20;0;0;0;;2031;0;1;12;20,80;1;0;1;7;0;12;о;в;о;о;12;о;к;о;о;о;;;12;7;;ПС 330;;12;12
496;330кВ Витебская;Постоянный ток;СВУ-2;11;;в;о;о;10;о;о;к;о;к;12.2019;0;2007;1;1;;21;20,80;6,20;3,20;0;0;0;;2031;0;1;12;20,80;1;0;1;7;0;12;о;в;о;о;12;о;к;о;о;о;;;12;7;;ПС 330;;12;12
498;330кВ Витебская;Постоянный ток;САПФИР;11;САПФИР;в;о;о;10;о;о;к;о;к;12.2019;0;2007;1;1;;30;30,00;20,00;1,00;0;0;0;;2023;1;1;12;30,00;1;0;0;7;0;12;о;в;о;о;12;о;к;о;о;о;;;12;7;7;ПС 330;МП;12;12
499;330кВ Витебская;Постоянный ток;Выпрямленный ток;12;;в;о;о;11;о;о;к;о;к;12.2019;0;2007;1;1;;28;28,00;20,00;1,00;0;0;0;;2031;0;1;12;28,00;1;0;1;7;0;12;о;в;о;о;12;о;к;о;о;о;;;12;7;;ПС 330;;12;12
500;330кВ Витебская;Щит С.Н.;АВ-0,4кВ ТСН-1;12;;о;о;о;11;к;о;о;о;к;11.2018;0;1971;1;1;;25;25,10;9,80;1,50;0;0;0;15;;0;1;12;25,10;1;0;0;7;0;12;в;о;о;о;11;к;о;о;о;в;;;11;2;;ПС 330;;11;12
501;330кВ Витебская;Щит С.Н.;АВ-0,4кВ ТСН-2;12;;о;о;о;11;к;о;о;о;к;11.2018;0;1971;1;1;;25;25,10;9,80;1,50;0;0;0;15;;0;1;12;25,10;1;0;0;7;0;12;в;о;о;о;11;к;о;о;о;в;;;11;2;;ПС 330;;11;12
502;330кВ Витебская;Щит С.Н.;СВ-0,4кВ,АВ0.4кВ,АВР;12;;о;о;о;11;к;о;о;о;к;11.2018;0;1971;1;1;;17;16,90;8,50;1,90;0;0;0;;;0;1;12;16,90;1;0;0;7;0;12;в;о;о;о;11;к;о;о;о;в;;;11;2;;ПС 330;;11;12
509;330кВ Витебская;Общеподстанц.;Центральная сигн.;9;ТЦС-100;н;о;о;11;к;в;о;о;в;12.2021;0;2015;1;1;;25;25,10;14,70;2,80;0;0;0;3;2027;1;1;12;25,10;1;0;1;6;0;12;о;о;о;о;12;о;в;о;о;о;;;12;8;4;ПС 330;МП;12;12
510;330кВ Витебская;Общеподстанц.;Схема синхронизации;12;;к;о;о;11;о;о;к;о;к;12.2019;0;1971;1;1;;24;24,00;16,00;1,00;0;0;0;3;;0;1;12;24,00;1;0;1;7;0;12;о;в;о;о;12;о;к;о;о;о;;;12;;;ПС 330;;12;12
511;330кВ Витебская;ЗРУ-10кВ;ТН-10кВ №2;3;;о;о;к;4;о;о;о;в;в;03.2020;0;1975;1;1;;13;13,40;5,30;0,90;0;0;0;1;;0;1;2;13,40;1;0;1;6;0;4;;к;;;3;в;;;к;;;;2;1;;ПС 330;;3;
520;110кВ Шумилино;Т-1;РЗ;;МР-801-2, МР-741-2;;о;;10;в;;н;к1;к;04.2022;0;2019;4;6;;143;143,00;71,90;14,90;0;0;0;150;2018;1;10;;143,00;;0;0;4;0;;к;;;;7;в;;;;к;;;9;1;4;ПС 110;МП;12;4
521;110кВ Шумилино;Т-1;Управление РПН;11;;к1;;к;;;к1;н;;к;04.2022;0;2019;1;1;;40;32,50;9,00;5,20;0;0;1;4;2025;0;5;4;10,00;;0;0;4;0;8;к;;;;;в;;;;к;;;;;;ПС 110;ЭМ;;4
522;110кВ Шумилино;Т-1;Автоматика обдува;;;;;;;;;в;;к;04.2022;0;1973;1;1;;13;13,10;3,00;1,20;0;0;0;;;0;10;;13,10;;0;1;4;0;;к;;;;7;в;;;;к;;;9;1;;ПС 110;;;4
523;110кВ Шумилино;Т-2;АРН;;МР-851;;в;;10;;к1;н;;к1;06.2021;0;2019;1;1;;;32,50;9,00;5,20;0;0;0;4;;1;5;4;;;0;0;4;0;;;к;;;;;в;;;;;;;5;4;ПС 110;МП;12;
